company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_name,investor_region,funding_round_type,metric
Revolve.,,,,,,,,,Revolve.        
Collaaj,,,,,,,,,Collaaj        
Kindling,,,,,,,,,Kindling        
MiaSol,,,,,,,,,MiaSol        
Obsorb,,,,,,,,,Obsorb        
Material Mix,,,,,,,,,Material Mix        
FoodEssentials,,,,,,,,,FoodEssentials        
adFreeq,,,,,,,,,adFreeq        
Companion Pharma,,,,,,,,,Companion Pharma        
TrakBill,,,,,,,,,TrakBill        
Dennoo,,,,,,,,,Dennoo        
Quixey,,,,,,,,,Quixey        
Blurtt,,,,,,,,,Blurtt        
Incident Technologies,,,,,,,,,Incident Technologies        
just.me,,,,,,,,,just.me        
M.dot,,,,,,,,,M.dot        
weendy,,,,,,,,,weendy        
Retrace,,,,,,,,,Retrace        
Big In Japan,,,,,,,,,Big In Japan        
ShopSavvy,,,,,,,,,ShopSavvy        
Guitar Party,,,,,,,,,Guitar Party        
OrangeSlyce,,,,,,,,,OrangeSlyce        
KonaWare,,,,,,,,,KonaWare        
Ambiq Micro,,,,,,,,,Ambiq Micro        
Watchwith,,,,,,,,,Watchwith        
Calando Pharmaceuticals,,,,,,,,,Calando Pharmaceuticals        
CapLinked,,,,,,,,,CapLinked        
NewsMaven,,,,,,,,,NewsMaven        
Muziwave.com,,,,,,,,,Muziwave.com        
Artisan Pharma,,,,,,,,,Artisan Pharma        
Crystal IS,,,,,,,,,Crystal IS        
Envia Systems,,,,,,,,,Envia Systems        
rSmart,,,,,,,,,rSmart        
Fancloud,,,,,,,,,Fancloud        
Nektar Therapeutics,,,,,,,,,Nektar Therapeutics        
GrabCAD,,,,,,,,,GrabCAD        
"Splashtop, Inc",,,,,,,,,"Splashtop, Inc        "
Akimbo,,,,,,,,,Akimbo        
On Networks,,,,,,,,,On Networks        
Vobile,,,,,,,,,Vobile        
Sometrics,,,,,,,,,Sometrics        
Zvents,,,,,,,,,Zvents        
Vlingo,,,,,,,,,Vlingo        
Pathfire,,,,,,,,,Pathfire        
StartX,,,,,,,,,StartX        
iStreamPlanet,,,,,,,,,iStreamPlanet        
PerSay,,,,,,,,,PerSay        
Verizon,,,,,,,,,Verizon        
Cloud9 IDE,,,,,,,,,Cloud9 IDE        
Socialcam,,,,,,,,,Socialcam        
Tuition.io,,,,,,,,,Tuition.io        
"AutoWeb, Inc.",,,,,,,,,"AutoWeb, Inc.        "
OnLive,,,,,,,,,OnLive        
Vela Systems,,,,,,,,,Vela Systems        
Gehry Technologies,,,,,,,,,Gehry Technologies        
Bolt.io,,,,,,,,,Bolt.io        
deviantART,,,,,,,,,deviantART        
OwnLocal,,,,,,,,,OwnLocal        
WP Engine,,,,,,,,,WP Engine        
ZippyKid,,,,,,,,,ZippyKid        
AutoRef.com,,,,,,,,,AutoRef.com        
Stion,,,,,,,,,Stion        
Berggi,,,,,,,,,Berggi        
Coppertino,,,,,,,,,Coppertino        
Pongo Resume,,,,,,,,,Pongo Resume        
BuildingLayer,,,,,,,,,BuildingLayer        
Crambu,,,,,,,,,Crambu        
TagaPet,,,,,,,,,TagaPet        
Fanbouts,,,,,,,,,Fanbouts        
Stadionaut,,,,,,,,,Stadionaut        
VeteranCentral.com,,,,,,,,,VeteranCentral.com        
Opanga Networks,,,,,,,,,Opanga Networks        
Blogic,,,,,,,,,Blogic        
OQO,,,,,,,,,OQO        
HiringThing,,,,,,,,,HiringThing        
Robotgalaxy,,,,,,,,,Robotgalaxy        
Tipping Bucket,,,,,,,,,Tipping Bucket        
Help Scout,,,,,,,,,Help Scout        
Libboo,,,,,,,,,Libboo        
Timbre,,,,,,,,,Timbre        
Zerto,,,,,,,,,Zerto        
Gliknik,,,,,,,,,Gliknik        
Naurex,,,,,,,,,Naurex        
Ocular Therapeutix,,,,,,,,,Ocular Therapeutix        
Workube,,,,,,,,,Workube        
TekTrak,,,,,,,,,TekTrak        
NanoSatisfi,,,,,,,,,NanoSatisfi        
Black House,,,,,,,,,Black House        
Nanosolar,,,,,,,,,Nanosolar        
Socialtext,,,,,,,,,Socialtext        
Extricom,,,,,,,,,Extricom        
LiftDNA,,,,,,,,,LiftDNA        
Gamma Basics,,,,,,,,,Gamma Basics        
MetaSolv,,,,,,,,,MetaSolv        
Mojiva,,,,,,,,,Mojiva        
UniversityNow,,,,,,,,,UniversityNow        
WizIQ,,,,,,,,,WizIQ        
Synergis Education,,,,,,,,,Synergis Education        
Avnera,,,,,,,,,Avnera        
SiBEAM,,,,,,,,,SiBEAM        
Zubie,,,,,,,,,Zubie        
DiJiPOP,,,,,,,,,DiJiPOP        
Jobzle,,,,,,,,,Jobzle        
GreenGoose!,,,,,,,,,GreenGoose!        
Inhabi,,,,,,,,,Inhabi        
